go_name,go_id,rel_type,parent_terms
nucleoside triphosphate metabolic process,GO:0009141,IS_A,GO:0006753
purine nucleoside triphosphate metabolic process,GO:0009144,IS_A,GO:0009141
pyrimidine nucleoside triphosphate metabolic process,GO:0009147,IS_A,GO:0009141
ribonucleoside monophosphate metabolic process,GO:0009161,IS_A,GO:0009123
deoxyribonucleoside monophosphate metabolic process,GO:0009162,IS_A,GO:0009123
ribonucleoside diphosphate metabolic process,GO:0009185,IS_A,GO:0009132
deoxyribonucleoside diphosphate metabolic process,GO:0009186,IS_A,GO:0009132
cyclic nucleotide metabolic process,GO:0009187,IS_A,GO:0009117
ribonucleoside triphosphate metabolic process,GO:0009199,IS_A,GO:0009141
deoxyribonucleoside triphosphate metabolic process,GO:0009200,IS_A,GO:0009141
menaquinone metabolic process,GO:0009233,IS_A,GO:1901661
siderophore metabolic process,GO:0009237,IS_A,GO:0019748
peptidoglycan turnover,GO:0009254,IS_A,GO:0000270
response to temperature stimulus,GO:0009266,IS_A,GO:0009628
response to pH,GO:0009268,IS_A,GO:0009628
response to desiccation,GO:0009269,IS_A,GO:0009414
response to humidity,GO:0009270,IS_A,GO:0009415
peptidoglycan-based cell wall biogenesis,GO:0009273,IS_A,GO:0042546
genetic transfer,GO:0009292,IS_A,GO:0044764
transduction,GO:0009293,IS_A,GO:0009292
DNA mediated transformation,GO:0009294,IS_A,GO:0009292
snRNA transcription,GO:0009301,IS_A,GO:0098781
rRNA transcription,GO:0009303,IS_A,GO:0098781
tRNA transcription,GO:0009304,IS_A,GO:0098781
protein biotinylation,GO:0009305,IS_A,GO:0006464
amine metabolic process,GO:0009308,IS_A,GO:1901564
oligosaccharide metabolic process,GO:0009311,IS_A,GO:0005975
response to radiation,GO:0009314,IS_A,GO:0009628
regulation of transcription by pheromones,GO:0009373,IS_A,GO:0006355
translational attenuation,GO:0009386,IS_A,GO:0006417
nitrogen fixation,GO:0009399,IS_A,GO:0071941
phosphoenolpyruvate-dependent sugar phosphotransferase system,GO:0009401,IS_A,GO:0008643
pathogenesis,GO:0009405,IS_A,GO:0044419
response to xenobiotic stimulus,GO:0009410,IS_A,GO:0042221
response to UV,GO:0009411,IS_A,GO:0009416
response to light stimulus,GO:0009416,IS_A,GO:0009314
NAD biosynthetic process,GO:0009435,IS_A,GO:0019359
carnitine metabolic process,GO:0009437,IS_A,GO:0006577
allantoin assimilation pathway,GO:0009442,IS_A,GO:0000256
putrescine metabolic process,GO:0009445,IS_A,GO:0006595
7-methylguanosine RNA capping,GO:0009452,IS_A,GO:0036260
energy taxis,GO:0009453,IS_A,GO:0042330
embryo sac development,GO:0009553,IS_A,GO:0048229
megasporogenesis,GO:0009554,IS_A,GO:0048236
pollen development,GO:0009555,IS_A,GO:0048229
microsporogenesis,GO:0009556,IS_A,GO:0048236
antipodal cell differentiation,GO:0009557,IS_A,GO:0030154
embryo sac cellularization,GO:0009558,IS_A,GO:0007349
embryo sac central cell differentiation,GO:0009559,IS_A,GO:0030154
megagametogenesis,GO:0009561,IS_A,GO:0032501
embryo sac nuclear migration,GO:0009562,IS_A,GO:0007097
synergid differentiation,GO:0009563,IS_A,GO:0030154
fertilization,GO:0009566,IS_A,GO:0022414
double fertilization forming a zygote and endosperm,GO:0009567,IS_A,GO:0009566
detection of visible light,GO:0009584,IS_A,GO:0009583
red,GO:0009585,IS_A,GO:0007602
UV-A,GO:0009588,IS_A,GO:0007602
detection of chemical stimulus,GO:0009593,IS_A,GO:0051606
detection of virus,GO:0009597,IS_A,GO:0009615
detection of nematode,GO:0009600,IS_A,GO:0098543
detection of insect,GO:0009601,IS_A,GO:0098543
response to external stimulus,GO:0009605,IS_A,GO:0050896
tropism,GO:0009606,IS_A,GO:0009605
response to biotic stimulus,GO:0009607,IS_A,GO:0050896
response to symbiont,GO:0009608,IS_A,GO:0051707
response to wounding,GO:0009611,IS_A,GO:0006950
response to virus,GO:0009615,IS_A,GO:0051707
response to bacterium,GO:0009617,IS_A,GO:0051707
response to fungus,GO:0009620,IS_A,GO:0051707
response to nematode,GO:0009624,IS_A,GO:0051707
response to insect,GO:0009625,IS_A,GO:0051707
systemic acquired resistance,GO:0009627,IS_A,GO:0009814
response to abiotic stimulus,GO:0009628,IS_A,GO:0050896
response to gravity,GO:0009629,IS_A,GO:0009628
cold acclimation,GO:0009631,IS_A,GO:0009409
response to toxic substance,GO:0009636,IS_A,GO:0042221
response to blue light,GO:0009637,IS_A,GO:0009416
response to red or far red light,GO:0009639,IS_A,GO:0009416
shade avoidance,GO:0009641,IS_A,GO:0009639
response to light intensity,GO:0009642,IS_A,GO:0009416
photosynthetic acclimation,GO:0009643,IS_A,GO:0009642
response to high light intensity,GO:0009644,IS_A,GO:0009642
response to low light intensity stimulus,GO:0009645,IS_A,GO:0009642
response to absence of light,GO:0009646,IS_A,GO:0009642
photoperiodism,GO:0009648,IS_A,GO:0009416
UV protection,GO:0009650,IS_A,GO:0009411
response to salt stress,GO:0009651,IS_A,GO:0006970
anatomical structure morphogenesis,GO:0009653,IS_A,GO:0032502
plastid organization,GO:0009657,IS_A,GO:0006996
chloroplast organization,GO:0009658,IS_A,GO:0009657
leucoplast organization,GO:0009659,IS_A,GO:0009657
amyloplast organization,GO:0009660,IS_A,GO:0009657
chromoplast organization,GO:0009661,IS_A,GO:0009657
etioplast organization,GO:0009662,IS_A,GO:0009657
plasmodesma organization,GO:0009663,IS_A,GO:0045216
plastid outer membrane organization,GO:0009666,IS_A,GO:0009668
plastid inner membrane organization,GO:0009667,IS_A,GO:0009668
plastid membrane organization,GO:0009668,IS_A,GO:0061024
double fertilization forming two zygotes,GO:0009677,IS_A,GO:0009566
ethylene metabolic process,GO:0009692,IS_A,GO:0043449
jasmonic acid metabolic process,GO:0009694,IS_A,GO:0032787
de-etiolation,GO:0009704,IS_A,GO:0009416
catechol-containing compound metabolic process,GO:0009712,IS_A,GO:0018958
response to endogenous stimulus,GO:0009719,IS_A,GO:0050896
response to ethylene,GO:0009723,IS_A,GO:0009725
response to auxin,GO:0009733,IS_A,GO:0009725
auxin-activated signaling pathway,GO:0009734,IS_A,GO:0009755
response to cytokinin,GO:0009735,IS_A,GO:0009725
cytokinin-activated signaling pathway,GO:0009736,IS_A,GO:0009755
abscisic acid-activated signaling pathway,GO:0009738,IS_A,GO:0009755
gibberellic acid mediated signaling pathway,GO:0009740,IS_A,GO:0010476
brassinosteroid mediated signaling pathway,GO:0009742,IS_A,GO:0043401
response to sucrose,GO:0009744,IS_A,GO:0034285
sucrose mediated signaling,GO:0009745,IS_A,GO:0010182
response to hexose,GO:0009746,IS_A,GO:0034284
hexokinase-dependent signaling,GO:0009747,IS_A,GO:0009757
hexokinase-independent signaling,GO:0009748,IS_A,GO:0009757
response to glucose,GO:0009749,IS_A,GO:0009746
response to fructose,GO:0009750,IS_A,GO:0009746
hormone-mediated signaling pathway,GO:0009755,IS_A,GO:0007165
carbohydrate mediated signaling,GO:0009756,IS_A,GO:0007165
hexose mediated signaling,GO:0009757,IS_A,GO:0010182
carbohydrate utilization,GO:0009758,IS_A,GO:0008150
NADP-malic enzyme C4 photosynthesis,GO:0009762,IS_A,GO:0009760
NAD-malic enzyme C4 photosynthesis,GO:0009763,IS_A,GO:0009760
PEP carboxykinase C4 photosynthesis,GO:0009764,IS_A,GO:0009760
photosynthesis,GO:0009765,IS_A,GO:0006091
primary charge separation,GO:0009766,IS_A,GO:0022904
photosynthetic electron transport chain,GO:0009767,IS_A,GO:0022900
photosynthesis,GO:0009768,IS_A,GO:0009765
photosynthesis,GO:0009769,IS_A,GO:0009765
primary charge separation in photosystem I,GO:0009770,IS_A,GO:0009766
primary charge separation in photosystem II,GO:0009771,IS_A,GO:0009766
photosynthetic electron transport in photosystem II,GO:0009772,IS_A,GO:0009767
photosynthetic electron transport in photosystem I,GO:0009773,IS_A,GO:0009767
cyclic photosynthetic phosphorylation,GO:0009778,IS_A,GO:0009777
noncyclic photosynthetic phosphorylation,GO:0009779,IS_A,GO:0009777
photosynthetic NADP+ reduction,GO:0009780,IS_A,GO:0006740
regulation of asymmetric cell division,GO:0009786,IS_A,GO:0051302
post-embryonic development,GO:0009791,IS_A,GO:0032501
embryo development ending in birth or egg hatching,GO:0009792,IS_A,GO:0009790
regulation of mitotic cell cycle,GO:0009794,IS_A,GO:0007346
axis specification,GO:0009798,IS_A,GO:0007389
specification of symmetry,GO:0009799,IS_A,GO:0007389
lignan metabolic process,GO:0009806,IS_A,GO:0009698
lignin metabolic process,GO:0009808,IS_A,GO:0009698
flavonoid metabolic process,GO:0009812,IS_A,GO:0071704
defense response,GO:0009814,IS_A,GO:0045087
drought recovery,GO:0009819,IS_A,GO:0009414
alkaloid metabolic process,GO:0009820,IS_A,GO:1901564
multidimensional cell growth,GO:0009825,IS_A,GO:0016049
plant-type cell wall loosening,GO:0009828,IS_A,GO:0009827
plant-type secondary cell wall biogenesis,GO:0009834,IS_A,GO:0009832
fruit ripening,GO:0009836,IS_A,GO:0009835
fruit ripening,GO:0009837,IS_A,GO:0009835
abscission,GO:0009838,IS_A,GO:0032502
seed germination,GO:0009845,IS_A,GO:0032501
spore germination,GO:0009847,IS_A,GO:0032502
tryptophan-independent indoleacetic acid biosynthetic process,GO:0009849,IS_A,GO:0009684
photorespiration,GO:0009853,IS_A,GO:0043094
oxidative photosynthetic carbon pathway,GO:0009854,IS_A,GO:0043094
determination of bilateral symmetry,GO:0009855,IS_A,GO:0009799
pollination,GO:0009856,IS_A,GO:0022414
systemic acquired resistance,GO:0009862,IS_A,GO:0009863
salicylic acid mediated signaling pathway,GO:0009863,IS_A,GO:0007165
jasmonic acid mediated signaling pathway,GO:0009867,IS_A,GO:0009755
jasmonic acid and ethylene-dependent systemic resistance,GO:0009868,IS_A,GO:0009867
jasmonic acid and ethylene-dependent systemic resistance,GO:0009871,IS_A,GO:0009873
nodulation,GO:0009877,IS_A,GO:0044403
determination of radial symmetry,GO:0009879,IS_A,GO:0009799
embryonic pattern specification,GO:0009880,IS_A,GO:0007389
post-embryonic animal morphogenesis,GO:0009886,IS_A,GO:0009653
animal organ morphogenesis,GO:0009887,IS_A,GO:0009653
tissue development,GO:0009888,IS_A,GO:0048856
regulation of biosynthetic process,GO:0009889,IS_A,GO:0019222
regulation of catabolic process,GO:0009894,IS_A,GO:0019222
dehiscence,GO:0009900,IS_A,GO:0048609
anther dehiscence,GO:0009901,IS_A,GO:0009900
chloroplast avoidance movement,GO:0009903,IS_A,GO:0009902
chloroplast accumulation movement,GO:0009904,IS_A,GO:0009902
flower development,GO:0009908,IS_A,GO:0090567
epidermal cell differentiation,GO:0009913,IS_A,GO:0030855
auxin polar transport,GO:0009926,IS_A,GO:0060918
cell tip growth,GO:0009932,IS_A,GO:0009826
meristem structural organization,GO:0009933,IS_A,GO:0048532
regulation of meristem structural organization,GO:0009934,IS_A,GO:0050793
regulation of gibberellic acid mediated signaling pathway,GO:0009937,IS_A,GO:0009966
adaxial/abaxial axis specification,GO:0009943,IS_A,GO:0009798
polarity specification of adaxial/abaxial axis,GO:0009944,IS_A,GO:0065001
radial axis specification,GO:0009945,IS_A,GO:0009798
proximal/distal axis specification,GO:0009946,IS_A,GO:0009798
centrolateral axis specification,GO:0009947,IS_A,GO:0009798
anterior/posterior axis specification,GO:0009948,IS_A,GO:0009798
polarity specification of anterior/posterior axis,GO:0009949,IS_A,GO:0065001
dorsal/ventral axis specification,GO:0009950,IS_A,GO:0009798
polarity specification of dorsal/ventral axis,GO:0009951,IS_A,GO:0065001
anterior/posterior pattern specification,GO:0009952,IS_A,GO:0003002
dorsal/ventral pattern formation,GO:0009953,IS_A,GO:0003002
proximal/distal pattern formation,GO:0009954,IS_A,GO:0003002
adaxial/abaxial pattern specification,GO:0009955,IS_A,GO:0003002
radial pattern formation,GO:0009956,IS_A,GO:0003002
epidermal cell fate specification,GO:0009957,IS_A,GO:0001708
positive gravitropism,GO:0009958,IS_A,GO:0009630
negative gravitropism,GO:0009959,IS_A,GO:0009630
response to 1-aminocyclopropane-1-carboxylic acid,GO:0009961,IS_A,GO:0043200
leaf morphogenesis,GO:0009965,IS_A,GO:1905392
cellular response to sulfate starvation,GO:0009970,IS_A,GO:0009267
cytidine deamination,GO:0009972,IS_A,GO:0006216
cellular process,GO:0009987,IS_A,GO:0008150
cell-cell recognition,GO:0009988,IS_A,GO:0008037
cell-matrix recognition,GO:0009989,IS_A,GO:0008037
contact guidance,GO:0009990,IS_A,GO:0009989
response to extracellular stimulus,GO:0009991,IS_A,GO:0009605
soluble molecule recognition,GO:0009995,IS_A,GO:0009593
glial cell differentiation,GO:0010001,IS_A,GO:0030154
gastrulation involving germ band extension,GO:0010004,IS_A,GO:0001703
meristem initiation,GO:0010014,IS_A,GO:0032502
root morphogenesis,GO:0010015,IS_A,GO:1905392
shoot system morphogenesis,GO:0010016,IS_A,GO:0009653
chloroplast-nucleus signaling pathway,GO:0010019,IS_A,GO:0007165
meristem determinacy,GO:0010022,IS_A,GO:0032501
trichome differentiation,GO:0010026,IS_A,GO:0030154
thylakoid membrane organization,GO:0010027,IS_A,GO:0009668
xanthophyll cycle,GO:0010028,IS_A,GO:0016122
regulation of seed germination,GO:0010029,IS_A,GO:1900140
circumnutation,GO:0010031,IS_A,GO:0050879
response to organic substance,GO:0010033,IS_A,GO:0042221
response to inorganic substance,GO:0010035,IS_A,GO:0042221
response to boron-containing substance,GO:0010036,IS_A,GO:0042221
response to iron ion,GO:0010039,IS_A,GO:0010038
response to iron(II) ion,GO:0010040,IS_A,GO:0010039
response to iron(III) ion,GO:0010041,IS_A,GO:0010039
response to manganese ion,GO:0010042,IS_A,GO:0010038
response to zinc ion,GO:0010043,IS_A,GO:0010038
response to aluminum ion,GO:0010044,IS_A,GO:0010038
response to nickel cation,GO:0010045,IS_A,GO:0010038
response to mycotoxin,GO:0010046,IS_A,GO:0009636
fruit dehiscence,GO:0010047,IS_A,GO:0009900
vernalization response,GO:0010048,IS_A,GO:0009409
acquisition of plant reproductive competence,GO:0010049,IS_A,GO:0009791
vegetative phase change,GO:0010050,IS_A,GO:0009791
xylem and phloem pattern formation,GO:0010051,IS_A,GO:0003002
guard cell differentiation,GO:0010052,IS_A,GO:0090627
root epidermal cell differentiation,GO:0010053,IS_A,GO:0090627
trichoblast differentiation,GO:0010054,IS_A,GO:0010053
atrichoblast differentiation,GO:0010055,IS_A,GO:0010053
atrichoblast fate specification,GO:0010056,IS_A,GO:0090628
trichoblast fate specification,GO:0010057,IS_A,GO:0090628
primary meristem tissue development,GO:0010065,IS_A,GO:0048508
ground meristem histogenesis,GO:0010066,IS_A,GO:0010065
procambium histogenesis,GO:0010067,IS_A,GO:0010065
protoderm histogenesis,GO:0010068,IS_A,GO:0010065
zygote asymmetric cell division,GO:0010070,IS_A,GO:0008356
meristem maintenance,GO:0010073,IS_A,GO:0032501
maintenance of meristem identity,GO:0010074,IS_A,GO:0019827
regulation of meristem growth,GO:0010075,IS_A,GO:0048638
maintenance of floral meristem identity,GO:0010076,IS_A,GO:0010074
maintenance of inflorescence meristem identity,GO:0010077,IS_A,GO:0010074
maintenance of root meristem identity,GO:0010078,IS_A,GO:0010074
maintenance of vegetative meristem identity,GO:0010079,IS_A,GO:0010074
regulation of root meristem growth,GO:0010082,IS_A,GO:0010075
specification of animal organ axis polarity,GO:0010084,IS_A,GO:0065001
polarity specification of proximal/distal axis,GO:0010085,IS_A,GO:0065001
phloem or xylem histogenesis,GO:0010087,IS_A,GO:0009888
phloem development,GO:0010088,IS_A,GO:0010087
xylem development,GO:0010089,IS_A,GO:0010087
trichome morphogenesis,GO:0010090,IS_A,GO:0000904
trichome branching,GO:0010091,IS_A,GO:0000904
specification of animal organ identity,GO:0010092,IS_A,GO:0003002
specification of carpel identity,GO:0010094,IS_A,GO:0010093
specification of petal identity,GO:0010095,IS_A,GO:0010093
specification of sepal identity,GO:0010096,IS_A,GO:0010093
specification of stamen identity,GO:0010097,IS_A,GO:0010093
suspensor development,GO:0010098,IS_A,GO:0048856
lateral root morphogenesis,GO:0010102,IS_A,GO:0010101
regulation of ethylene-activated signaling pathway,GO:0010104,IS_A,GO:0070297
cellular response to iron ion starvation,GO:0010106,IS_A,GO:0009267
detection of glutamine,GO:0010108,IS_A,GO:0009593
regulation of photosynthesis,GO:0010109,IS_A,GO:0031323
regulation of systemic acquired resistance,GO:0010112,IS_A,GO:0045088
response to red light,GO:0010114,IS_A,GO:0009639
photoprotection,GO:0010117,IS_A,GO:0009416
stomatal movement,GO:0010118,IS_A,GO:0009987
regulation of stomatal movement,GO:0010119,IS_A,GO:0050794
arginine catabolic process to proline via ornithine,GO:0010121,IS_A,GO:0019493
mycothiol-dependent detoxification,GO:0010127,IS_A,GO:0098754
anaerobic ethylbenzene catabolic process,GO:0010130,IS_A,GO:0018913
ureide metabolic process,GO:0010135,IS_A,GO:0043603
cutin biosynthetic process,GO:0010143,IS_A,GO:0009059
fructan metabolic process,GO:0010145,IS_A,GO:0044264
transpiration,GO:0010148,IS_A,GO:0006833
leaf senescence,GO:0010150,IS_A,GO:0090693
chloroplast elongation,GO:0010151,IS_A,GO:0009658
pollen maturation,GO:0010152,IS_A,GO:0021700
fruit development,GO:0010154,IS_A,GO:0048608
regulation of proton transport,GO:0010155,IS_A,GO:1904062
abaxial cell fate specification,GO:0010158,IS_A,GO:0001708
specification of animal organ position,GO:0010159,IS_A,GO:0003002
response to cesium ion,GO:0010164,IS_A,GO:0010038
response to X-ray,GO:0010165,IS_A,GO:0010212
wax metabolic process,GO:0010166,IS_A,GO:1901568
body morphogenesis,GO:0010171,IS_A,GO:0009653
sugar mediated signaling pathway,GO:0010182,IS_A,GO:0009756
cytokinin transport,GO:0010184,IS_A,GO:0009914
regulation of cellular defense response,GO:0010185,IS_A,GO:0031347
response to microbial phytotoxin,GO:0010188,IS_A,GO:0009636
cytochrome b6f complex assembly,GO:0010190,IS_A,GO:0017004
mucilage metabolic process,GO:0010191,IS_A,GO:0044237
nonphotochemical quenching,GO:0010196,IS_A,GO:1990066
polar nucleus fusion,GO:0010197,IS_A,GO:0000741
organ boundary specification between lateral organs and the meristem,GO:0010199,IS_A,GO:0090691
response to continuous far red light stimulus by the high-irradiance response system,GO:0010201,IS_A,GO:0010218
photosystem II repair,GO:0010206,IS_A,GO:0030091
photosystem II assembly,GO:0010207,IS_A,GO:0034622
response to ionizing radiation,GO:0010212,IS_A,GO:0009314
non-photoreactive DNA repair,GO:0010213,IS_A,GO:0006281
cellulose microfibril organization,GO:0010215,IS_A,GO:0030198
maintenance of DNA methylation,GO:0010216,IS_A,GO:0006259
response to far red light,GO:0010218,IS_A,GO:0009639
regulation of vernalization response,GO:0010219,IS_A,GO:0080134
stem vascular tissue pattern formation,GO:0010222,IS_A,GO:0010051
response to UV-B,GO:0010224,IS_A,GO:0009411
response to UV-C,GO:0010225,IS_A,GO:0009411
response to lithium ion,GO:0010226,IS_A,GO:0010038
vegetative to reproductive phase transition of meristem,GO:0010228,IS_A,GO:0003006
inflorescence development,GO:0010229,IS_A,GO:0090567
alternative respiration,GO:0010230,IS_A,GO:0009060
phloem transport,GO:0010233,IS_A,GO:0010232
guard mother cell cytokinesis,GO:0010235,IS_A,GO:0000911
plastoquinone biosynthetic process,GO:0010236,IS_A,GO:1901663
radial microtubular system formation,GO:0010245,IS_A,GO:0000226
detection of phosphate ion,GO:0010247,IS_A,GO:0009593
establishment or maintenance of transmembrane electrochemical gradient,GO:0010248,IS_A,GO:0034220
auxin conjugate metabolic process,GO:0010249,IS_A,GO:0009850
auxin homeostasis,GO:0010252,IS_A,GO:0048878
glucose mediated signaling pathway,GO:0010255,IS_A,GO:0009757
endomembrane system organization,GO:0010256,IS_A,GO:0016043
NADH dehydrogenase complex assembly,GO:0010257,IS_A,GO:0034622
animal organ senescence,GO:0010260,IS_A,GO:0007568
SCF complex assembly,GO:0010265,IS_A,GO:0065003
production of ta-siRNAs involved in RNA interference,GO:0010267,IS_A,GO:0030422
brassinosteroid homeostasis,GO:0010268,IS_A,GO:0055088
response to selenium ion,GO:0010269,IS_A,GO:0010035
photosystem II oxygen evolving complex assembly,GO:0010270,IS_A,GO:0010207
response to silver ion,GO:0010272,IS_A,GO:0010038
detoxification of copper ion,GO:0010273,IS_A,GO:0061687
hydrotropism,GO:0010274,IS_A,GO:0009606
NAD(P)H dehydrogenase complex assembly,GO:0010275,IS_A,GO:0034622
heat acclimation,GO:0010286,IS_A,GO:0009408
response to lead ion,GO:0010288,IS_A,GO:0010038
detoxification of cobalt ion,GO:0010299,IS_A,GO:0061687
PSII associated light-harvesting complex II catabolic process,GO:0010304,IS_A,GO:0044257
leaf vascular tissue pattern formation,GO:0010305,IS_A,GO:0010051
regulation of hydrogen peroxide metabolic process,GO:0010310,IS_A,GO:2000377
detoxification of zinc ion,GO:0010312,IS_A,GO:0098754
regulation of vegetative phase change,GO:0010321,IS_A,GO:0048580
membrane invagination,GO:0010324,IS_A,GO:0061024
raffinose family oligosaccharide biosynthetic process,GO:0010325,IS_A,GO:0009312
response to gamma radiation,GO:0010332,IS_A,GO:0010212
response to non-ionic osmotic stress,GO:0010335,IS_A,GO:0006970
gibberellic acid homeostasis,GO:0010336,IS_A,GO:0055088
regulation of salicylic acid metabolic process,GO:0010337,IS_A,GO:0010565
endosperm cellularization,GO:0010342,IS_A,GO:0007349
singlet oxygen-mediated programmed cell death,GO:0010343,IS_A,GO:0097468
suberin biosynthetic process,GO:0010345,IS_A,GO:0009699
shoot axis formation,GO:0010346,IS_A,GO:1905393
cellular response to magnesium starvation,GO:0010350,IS_A,GO:0009267
response to trehalose,GO:0010353,IS_A,GO:0034285
leaf shaping,GO:0010358,IS_A,GO:0048532
regulation of anion channel activity by blue light,GO:0010361,IS_A,GO:0010359
stomatal complex patterning,GO:0010375,IS_A,GO:0003002
stomatal complex formation,GO:0010376,IS_A,GO:0048646
guard cell fate commitment,GO:0010377,IS_A,GO:0045165
peroxisome-chloroplast membrane tethering,GO:0010381,IS_A,GO:0140056
COP9 signalosome assembly,GO:0010387,IS_A,GO:0034622
glucomannan metabolic process,GO:0010391,IS_A,GO:0006080
galactoglucomannan metabolic process,GO:0010392,IS_A,GO:0006080
galacturonan metabolic process,GO:0010393,IS_A,GO:0005976
homogalacturonan metabolic process,GO:0010394,IS_A,GO:0010393
rhamnogalacturonan II metabolic process,GO:0010396,IS_A,GO:0010393
apiogalacturonan metabolic process,GO:0010397,IS_A,GO:0005976
